Entry	Entry name	Protein names	Organism	Length	Gene names  (primary )	Gene ontology (cellular component)	Gene ontology (biological process)	Gene ontology (molecular function)
Q00839	HNRPU_HUMAN	Heterogeneous nuclear ribonucleoprotein U (hnRNP U) (GRIP120) (Nuclear p120 ribonucleoprotein) (Scaffold-attachment factor A) (SAF-A) (p120) (pp120)	Homo sapiens (Human)	825	HNRNPU	catalytic step 2 spliceosome [GO:0071013]; cell surface [GO:0009986]; centrosome [GO:0005813]; condensed chromosome kinetochore [GO:0000777]; CRD-mediated mRNA stability complex [GO:0070937]; cytoplasmic ribonucleoprotein granule [GO:0036464]; dendrite cytoplasm [GO:0032839]; inactive sex chromosome [GO:0098577]; kinetochore [GO:0000776]; membrane [GO:0016020]; midbody [GO:0030496]; mitotic spindle [GO:0072686]; mitotic spindle microtubule [GO:1990498]; mitotic spindle midzone [GO:1990023]; nuclear chromosome [GO:0000228]; nuclear matrix [GO:0016363]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; protein-containing complex [GO:0032991]; ribonucleoprotein complex [GO:1990904]; spindle pole [GO:0000922]; telomerase holoenzyme complex [GO:0005697]	adaptive thermogenesis [GO:1990845]; cardiac muscle cell development [GO:0055013]; cell cycle [GO:0007049]; cell division [GO:0051301]; cellular response to glucocorticoid stimulus [GO:0071385]; cellular response to leukemia inhibitory factor [GO:1990830]; chromatin organization [GO:0006325]; circadian regulation of gene expression [GO:0032922]; CRD-mediated mRNA stabilization [GO:0070934]; dendritic transport of messenger ribonucleoprotein complex [GO:0098963]; dosage compensation by inactivation of X chromosome [GO:0009048]; maintenance of protein location in nucleus [GO:0051457]; mRNA splicing, via spliceosome [GO:0000398]; mRNA stabilization [GO:0048255]; negative regulation of kinase activity [GO:0033673]; negative regulation of stem cell differentiation [GO:2000737]; negative regulation of telomere maintenance via telomerase [GO:0032211]; negative regulation of transcription by RNA polymerase II [GO:0000122]; negative regulation of transcription elongation from RNA polymerase II promoter [GO:0034244]; osteoblast differentiation [GO:0001649]; positive regulation of attachment of mitotic spindle microtubules to kinetochore [GO:1902425]; positive regulation of brown fat cell differentiation [GO:0090336]; positive regulation of DNA topoisomerase (ATP-hydrolyzing) activity [GO:2000373]; positive regulation of stem cell proliferation [GO:2000648]; positive regulation of transcription by RNA polymerase II [GO:0045944]; protein localization to spindle microtubule [GO:1902889]; regulation of alternative mRNA splicing, via spliceosome [GO:0000381]; regulation of chromatin organization [GO:1902275]; regulation of mitotic cell cycle [GO:0007346]; regulation of mitotic spindle assembly [GO:1901673]; RNA localization to chromatin [GO:1990280]; RNA metabolic process [GO:0016070]; RNA processing [GO:0006396]	actin binding [GO:0003779]; ATP binding [GO:0005524]; chromatin binding [GO:0003682]; chromatin DNA binding [GO:0031490]; DNA binding [GO:0003677]; double-stranded DNA binding [GO:0003690]; double-stranded RNA binding [GO:0003725]; identical protein binding [GO:0042802]; mRNA 3'-UTR binding [GO:0003730]; poly(A) binding [GO:0008143]; poly(C) RNA binding [GO:0017130]; poly(G) binding [GO:0034046]; pre-mRNA binding [GO:0036002]; promoter-specific chromatin binding [GO:1990841]; protein-containing complex binding [GO:0044877]; ribonucleoprotein complex binding [GO:0043021]; RNA binding [GO:0003723]; RNA polymerase II complex binding [GO:0000993]; RNA polymerase II C-terminal domain binding [GO:0099122]; RNA polymerase II proximal promoter sequence-specific DNA binding [GO:0000978]; sequence-specific double-stranded DNA binding [GO:1990837]; single-stranded DNA binding [GO:0003697]; single-stranded RNA binding [GO:0003727]; snRNA binding [GO:0017069]; telomerase RNA binding [GO:0070034]; TFIIH-class transcription factor complex binding [GO:0001097]; transcription corepressor activity [GO:0003714]
O60506	HNRPQ_HUMAN	Heterogeneous nuclear ribonucleoprotein Q (hnRNP Q) (Glycine- and tyrosine-rich RNA-binding protein) (GRY-RBP) (NS1-associated protein 1) (Synaptotagmin-binding, cytoplasmic RNA-interacting protein)	Homo sapiens (Human)	623	SYNCRIP	catalytic step 2 spliceosome [GO:0071013]; CRD-mediated mRNA stability complex [GO:0070937]; endoplasmic reticulum [GO:0005783]; GAIT complex [GO:0097452]; histone pre-mRNA 3'end processing complex [GO:0071204]; membrane [GO:0016020]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; ribonucleoprotein complex [GO:1990904]	cellular response to interferon-gamma [GO:0071346]; CRD-mediated mRNA stabilization [GO:0070934]; mRNA splicing, via spliceosome [GO:0000398]; negative regulation of translation [GO:0017148]; osteoblast differentiation [GO:0001649]; RNA processing [GO:0006396]; RNA splicing [GO:0008380]; viral process [GO:0016032]	mRNA 5'-UTR binding [GO:0048027]; mRNA binding [GO:0003729]; poly(A) binding [GO:0008143]; RNA binding [GO:0003723]
O75533	SF3B1_HUMAN	Splicing factor 3B subunit 1 (Pre-mRNA-splicing factor SF3b 155 kDa subunit) (SF3b155) (Spliceosome-associated protein 155) (SAP 155)	Homo sapiens (Human)	1304	SF3B1	catalytic step 2 spliceosome [GO:0071013]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; spliceosomal complex [GO:0005681]; U11/U12 snRNP [GO:0034693]; U12-type spliceosomal complex [GO:0005689]; U2 snRNP [GO:0005686]; U2-type precatalytic spliceosome [GO:0071005]; U2-type prespliceosome [GO:0071004]	mRNA splicing, via spliceosome [GO:0000398]; positive regulation of gene expression, epigenetic [GO:0045815]; RNA splicing, via transesterification reactions [GO:0000375]; spliceosomal complex assembly [GO:0000245]	mRNA binding [GO:0003729]; RNA binding [GO:0003723]
P35579	MYH9_HUMAN	Myosin-9 (Cellular myosin heavy chain, type A) (Myosin heavy chain 9) (Myosin heavy chain, non-muscle IIa) (Non-muscle myosin heavy chain A) (NMMHC-A) (Non-muscle myosin heavy chain IIa) (NMMHC II-a) (NMMHC-IIA)	Homo sapiens (Human)	1960	MYH9	actin cytoskeleton [GO:0015629]; actomyosin [GO:0042641]; actomyosin contractile ring [GO:0005826]; brush border [GO:0005903]; cell-cell adherens junction [GO:0005913]; cell leading edge [GO:0031252]; cleavage furrow [GO:0032154]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; focal adhesion [GO:0005925]; immunological synapse [GO:0001772]; membrane [GO:0016020]; myosin II complex [GO:0016460]; myosin II filament [GO:0097513]; neuromuscular junction [GO:0031594]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; protein-containing complex [GO:0032991]; ruffle [GO:0001726]; spindle [GO:0005819]; stress fiber [GO:0001725]; uropod [GO:0001931]	actin cytoskeleton reorganization [GO:0031532]; actin filament-based movement [GO:0030048]; actomyosin structure organization [GO:0031032]; angiogenesis [GO:0001525]; blood vessel endothelial cell migration [GO:0043534]; cytokinetic process [GO:0032506]; establishment of meiotic spindle localization [GO:0051295]; establishment of T cell polarity [GO:0001768]; integrin-mediated signaling pathway [GO:0007229]; in utero embryonic development [GO:0001701]; leukocyte migration [GO:0050900]; meiotic spindle organization [GO:0000212]; membrane protein ectodomain proteolysis [GO:0006509]; monocyte differentiation [GO:0030224]; myoblast fusion [GO:0007520]; negative regulation of actin filament severing [GO:1903919]; phagocytosis, engulfment [GO:0006911]; platelet aggregation [GO:0070527]; platelet formation [GO:0030220]; positive regulation of protein processing in phagocytic vesicle [GO:1903923]; protein transport [GO:0015031]; regulation of cell shape [GO:0008360]; uropod organization [GO:0032796]	actin binding [GO:0003779]; actin-dependent ATPase activity [GO:0030898]; actin filament binding [GO:0051015]; ADP binding [GO:0043531]; ATPase activity [GO:0016887]; ATP binding [GO:0005524]; cadherin binding [GO:0045296]; calmodulin binding [GO:0005516]; integrin binding [GO:0005178]; microfilament motor activity [GO:0000146]; motor activity [GO:0003774]; protein domain specific binding [GO:0019904]; protein homodimerization activity [GO:0042803]; protein membrane anchor [GO:0043495]; RNA binding [GO:0003723]
Q12906	ILF3_HUMAN	Interleukin enhancer-binding factor 3 (Double-stranded RNA-binding protein 76) (DRBP76) (M-phase phosphoprotein 4) (MPP4) (Nuclear factor associated with dsRNA) (NFAR) (Nuclear factor of activated T-cells 90 kDa) (NF-AT-90) (Translational control protein 80) (TCP80)	Homo sapiens (Human)	894	ILF3	cytoplasm [GO:0005737]; extracellular region [GO:0005576]; membrane [GO:0016020]; mitochondrion [GO:0005739]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; ribonucleoprotein complex [GO:1990904]	defense response to virus [GO:0051607]; negative regulation of transcription, DNA-templated [GO:0045892]; negative regulation of translation [GO:0017148]; negative regulation of viral genome replication [GO:0045071]; positive regulation of transcription, DNA-templated [GO:0045893]; protein phosphorylation [GO:0006468]	AU-rich element binding [GO:0017091]; DNA binding [GO:0003677]; double-stranded RNA binding [GO:0003725]; RNA binding [GO:0003723]; single-stranded RNA binding [GO:0003727]
Q86UP2	KTN1_HUMAN	Kinectin (CG-1 antigen) (Kinesin receptor)	Homo sapiens (Human)	1357	KTN1	endoplasmic reticulum [GO:0005783]; endoplasmic reticulum lumen [GO:0005788]; endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; integral component of plasma membrane [GO:0005887]; membrane [GO:0016020]	cellular protein metabolic process [GO:0044267]; microtubule-based movement [GO:0007018]; post-translational protein modification [GO:0043687]	cadherin binding [GO:0045296]; kinesin binding [GO:0019894]; RNA binding [GO:0003723]
Q9Y4C8	RBM19_HUMAN	Probable RNA-binding protein 19 (RNA-binding motif protein 19)	Homo sapiens (Human)	960	RBM19	chromosome [GO:0005694]; cytoplasm [GO:0005737]; membrane [GO:0016020]; nuclear speck [GO:0016607]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]	mRNA cis splicing, via spliceosome [GO:0045292]; multicellular organism development [GO:0007275]; positive regulation of embryonic development [GO:0040019]; regulation of alternative mRNA splicing, via spliceosome [GO:0000381]	RNA binding [GO:0003723]
P23246	SFPQ_HUMAN	Splicing factor, proline- and glutamine-rich (100 kDa DNA-pairing protein) (hPOMp100) (DNA-binding p52/p100 complex, 100 kDa subunit) (Polypyrimidine tract-binding protein-associated-splicing factor) (PSF) (PTB-associated-splicing factor)	Homo sapiens (Human)	707	SFPQ	chromatin [GO:0000785]; dendrite cytoplasm [GO:0032839]; nuclear matrix [GO:0016363]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; paraspeckles [GO:0042382]; RNA polymerase II transcription factor complex [GO:0090575]	activation of innate immune response [GO:0002218]; alternative mRNA splicing, via spliceosome [GO:0000380]; dendritic transport of messenger ribonucleoprotein complex [GO:0098963]; double-strand break repair via homologous recombination [GO:0000724]; histone H3 deacetylation [GO:0070932]; innate immune response [GO:0045087]; mRNA processing [GO:0006397]; negative regulation of circadian rhythm [GO:0042754]; negative regulation of transcription, DNA-templated [GO:0045892]; negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of oxidative stress-induced intrinsic apoptotic signaling pathway [GO:1902177]; positive regulation of sister chromatid cohesion [GO:0045876]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of circadian rhythm [GO:0042752]; rhythmic process [GO:0048511]; RNA splicing [GO:0008380]	chromatin binding [GO:0003682]; DNA binding [GO:0003677]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; E-box binding [GO:0070888]; histone deacetylase binding [GO:0042826]; protein homodimerization activity [GO:0042803]; RNA binding [GO:0003723]; RNA polymerase II distal enhancer sequence-specific DNA binding [GO:0000980]; transcription regulatory region DNA binding [GO:0044212]; transcription regulatory region sequence-specific DNA binding [GO:0000976]
Q14692	BMS1_HUMAN	Ribosome biogenesis protein BMS1 homolog (Ribosome assembly protein BMS1 homolog)	Homo sapiens (Human)	1282	BMS1	90S preribosome [GO:0030686]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000462]; rRNA processing [GO:0006364]	ATP binding [GO:0005524]; GTPase activity [GO:0003924]; GTP binding [GO:0005525]; RNA binding [GO:0003723]; U3 snoRNA binding [GO:0034511]
Q92900	RENT1_HUMAN	Regulator of nonsense transcripts 1 (EC 3.6.4.-) (ATP-dependent helicase RENT1) (Nonsense mRNA reducing factor 1) (NORF1) (Up-frameshift suppressor 1 homolog) (hUpf1)	Homo sapiens (Human)	1129	UPF1	chromatin [GO:0000785]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; exon-exon junction complex [GO:0035145]; nuclear chromosome, telomeric region [GO:0000784]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; P-body [GO:0000932]; supraspliceosomal complex [GO:0044530]	3'-UTR-mediated mRNA destabilization [GO:0061158]; cell cycle phase transition [GO:0044770]; cellular response to interleukin-1 [GO:0071347]; cellular response to lipopolysaccharide [GO:0071222]; DNA repair [GO:0006281]; DNA replication [GO:0006260]; dosage compensation by inactivation of X chromosome [GO:0009048]; histone mRNA catabolic process [GO:0071044]; mRNA export from nucleus [GO:0006406]; nuclear-transcribed mRNA catabolic process [GO:0000956]; nuclear-transcribed mRNA catabolic process, endonucleolytic cleavage-dependent decay [GO:0000294]; nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:0000184]; positive regulation of mRNA catabolic process [GO:0061014]; regulation of telomere maintenance [GO:0032204]; regulation of translational termination [GO:0006449]; telomere maintenance via semi-conservative replication [GO:0032201]; viral process [GO:0016032]	ATP binding [GO:0005524]; ATP-dependent RNA helicase activity [GO:0004004]; chromatin binding [GO:0003682]; helicase activity [GO:0004386]; RNA binding [GO:0003723]; telomeric DNA binding [GO:0042162]; zinc ion binding [GO:0008270]
Q92945	FUBP2_HUMAN	Far upstream element-binding protein 2 (FUSE-binding protein 2) (KH type-splicing regulatory protein) (KSRP) (p75)	Homo sapiens (Human)	711	KHSRP	cytoplasmic stress granule [GO:0010494]; cytosol [GO:0005829]; membrane [GO:0016020]; nucleoplasm [GO:0005654]	3'-UTR-mediated mRNA destabilization [GO:0061158]; cellular response to cytokine stimulus [GO:0071345]; miRNA metabolic process [GO:0010586]; mRNA catabolic process [GO:0006402]; mRNA processing [GO:0006397]; mRNA transport [GO:0051028]; negative regulation of low-density lipoprotein particle clearance [GO:0010989]; negative regulation of nitric oxide biosynthetic process [GO:0045019]; positive regulation of mRNA catabolic process [GO:0061014]; regulation of miRNA metabolic process [GO:2000628]; regulation of mRNA stability [GO:0043488]; regulation of transcription, DNA-templated [GO:0006355]; RNA splicing [GO:0008380]; RNA splicing, via transesterification reactions [GO:0000375]	DNA binding [GO:0003677]; mRNA 3'-UTR AU-rich region binding [GO:0035925]; RNA binding [GO:0003723]
O76021	RL1D1_HUMAN	Ribosomal L1 domain-containing protein 1 (CATX-11) (Cellular senescence-inhibited gene protein) (Protein PBK1)	Homo sapiens (Human)	490	RSL1D1	90S preribosome [GO:0030686]; membrane [GO:0016020]; nucleolus [GO:0005730]	maturation of LSU-rRNA [GO:0000470]; osteoblast differentiation [GO:0001649]; regulation of apoptotic process [GO:0042981]; regulation of cellular senescence [GO:2000772]; regulation of protein localization [GO:0032880]	cadherin binding [GO:0045296]; mRNA 3'-UTR binding [GO:0003730]; mRNA 5'-UTR binding [GO:0048027]; RNA binding [GO:0003723]
P43243	MATR3_HUMAN	Matrin-3	Homo sapiens (Human)	847	MATR3	membrane [GO:0016020]; nuclear inner membrane [GO:0005637]; nuclear matrix [GO:0016363]	activation of innate immune response [GO:0002218]; innate immune response [GO:0045087]; posttranscriptional regulation of gene expression [GO:0010608]	identical protein binding [GO:0042802]; miRNA binding [GO:0035198]; RNA binding [GO:0003723]; structural molecule activity [GO:0005198]; zinc ion binding [GO:0008270]
Q03701	CEBPZ_HUMAN	CCAAT/enhancer-binding protein zeta (CCAAT-box-binding transcription factor) (CBF) (CCAAT-binding factor)	Homo sapiens (Human)	1054	CEBPZ	nucleus [GO:0005634]	positive regulation of transcription by RNA polymerase II [GO:0045944]; ribosome biogenesis [GO:0042254]; transcription by RNA polymerase II [GO:0006366]	DNA binding [GO:0003677]; DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; RNA binding [GO:0003723]; RNA polymerase II proximal promoter sequence-specific DNA binding [GO:0000978]
Q96T37	RBM15_HUMAN	RNA-binding protein 15 (One-twenty two protein 1) (RNA-binding motif protein 15)	Homo sapiens (Human)	977	RBM15	nuclear membrane [GO:0031965]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; RNA N6-methyladenosine methyltransferase complex [GO:0036396]	branching involved in blood vessel morphogenesis [GO:0001569]; dosage compensation by inactivation of X chromosome [GO:0009048]; negative regulation of myeloid cell differentiation [GO:0045638]; placenta blood vessel development [GO:0060674]; positive regulation of transcription of Notch receptor target [GO:0007221]; regulation of alternative mRNA splicing, via spliceosome [GO:0000381]; regulation of megakaryocyte differentiation [GO:0045652]; RNA methylation [GO:0001510]; spleen development [GO:0048536]; thrombopoietin-mediated signaling pathway [GO:0038163]; ventricular septum morphogenesis [GO:0060412]; viral process [GO:0016032]	mRNA binding [GO:0003729]; RNA binding [GO:0003723]
